Asset,CAGR,Ann. Vol,Sharpe,Sortino,Calmar,Max DD,Max DD Duration (days),Hit Rate,Ann. Turnover,Time in Market,Strategy,Ann_Factor
spx,0.026354786342434933,0.0834354233297719,0.31587046952790937,0.2321622499666676,0.1114276226904756,-0.23651932712989343,2150,0.21430279837359484,2.230088495575221,0.3917723032767281,HMM Regime,252
spx,0.12354781529222825,0.17207865682621412,0.7179729175652608,0.8878940958351209,0.3641796933071271,-0.3392496000265328,512,0.5465199712987323,0.0,1.0,Buy & Hold,252
spx,0.07845411985442641,0.11762184952805954,0.6670029434940199,0.7695524343551328,0.34014158324767174,-0.23065136319219337,607,0.4518057880889739,6.027266204257354,0.8254006218607989,200DMA Filter,252
nasdaq,0.06417518069534411,0.12172791064552567,0.5272018582675229,0.4858638187834041,0.24000630799912195,-0.26738955834268696,1099,0.29131786653910546,2.4711791437455153,0.5185362353503946,HMM Regime,252
nasdaq,0.15919708252864462,0.20495203860897518,0.7767528618360038,0.9980311107184677,0.4374113426965344,-0.3639527990912018,569,0.5582396555847883,0.0,1.0,Buy & Hold,252
nasdaq,0.11221691729176264,0.14966083828514135,0.7498081567467992,0.8713758847703752,0.4756240402576382,-0.2359361760414307,808,0.4589811049988041,5.906720880172207,0.8160727098780196,200DMA Filter,252
gold,0.09839510079672165,0.15036038306615632,0.6543951191812891,0.7439299126972402,0.34892329492310253,-0.28199636489849855,2012,0.4165071770334928,1.8688995215311004,0.7791866028708134,HMM Regime,252
gold,0.08764011541446082,0.17103636614764925,0.5124063226343596,0.65908850105482,0.1975485153309913,-0.44363844125895024,2240,0.5279904306220096,0.0,1.0,Buy & Hold,252
gold,0.06989078992307252,0.13964613264843212,0.5004849658030055,0.5027326164616318,0.22167982891970792,-0.31527807587936585,2241,0.3519138755980861,8.379904306220094,0.6461722488038277,200DMA Filter,252
bitcoin,0.0520046645455301,0.544772417644599,0.09546126577108961,0.12512320830410462,0.06786058669727259,-0.7663456370856906,1132,0.428988326848249,1.242704280155642,0.8604085603112841,HMM Regime,365
bitcoin,0.1532267140848218,0.5713754493469314,0.26817167986471296,0.38148636051048185,0.19994465508738643,-0.7663456370856905,846,0.4965953307392996,0.0,1.0,Buy & Hold,365
bitcoin,0.17400212470051324,0.416269035543177,0.4180040066479196,0.45340927920335544,0.32284296763575987,-0.538968297729276,1036,0.26848249027237353,9.053988326848248,0.5413424124513618,200DMA Filter,365
